file,shot_id,segment_num,trace_count,valid_count,mae_ms,rmse_ms,acc_4ms,acc_8ms
Halfmile_shot20021558_seg038.npz,20021558,38,100,97,64.74226804123711,113.24856340546692,17.525773195876287,28.865979381443296
Halfmile_shot20121555_seg005.npz,20121555,5,101,97,21.051546391752577,55.632446217696994,56.70103092783505,70.10309278350515
Halfmile_shot20201286_seg002.npz,20201286,2,181,177,21.480225988700564,59.042644743482526,53.10734463276836,72.88135593220339
Halfmile_shot20041627_seg038.npz,20041627,38,100,96,165.22916666666666,209.53291308686246,5.208333333333334,7.291666666666667
Halfmile_shot20301183_seg009.npz,20301183,9,200,186,24.50537634408602,75.26140823750558,57.52688172043011,79.03225806451613
Halfmile_shot20281076_seg004.npz,20281076,4,201,112,30.089285714285715,42.75636961736979,24.107142857142858,41.07142857142857
Halfmile_shot20181350_seg013.npz,20181350,13,161,156,26.923076923076923,57.058674254597854,28.846153846153843,50.641025641025635
Halfmile_shot20061678_seg030.npz,20061678,30,100,99,53.97979797979798,112.34398834460043,24.242424242424242,35.35353535353536
Halfmile_shot20241127_seg006.npz,20241127,6,200,188,28.73404255319149,64.35423906089157,26.595744680851062,52.12765957446809
Halfmile_shot20121514_seg024.npz,20121514,24,101,96,54.6875,85.26551667194266,30.208333333333332,45.83333333333333
Halfmile_shot20241124_seg003.npz,20241124,3,201,192,64.33333333333333,95.58002755108761,38.54166666666667,45.83333333333333
Halfmile_shot20101699_seg044.npz,20101699,44,99,96,37.6875,87.04668287763756,55.208333333333336,68.75
Halfmile_shot20161392_seg013.npz,20161392,13,141,117,37.38461538461539,49.28167773811846,5.982905982905983,16.23931623931624
Halfmile_shot20281065_seg009.npz,20281065,9,200,197,22.548223350253807,70.22559731156794,71.57360406091371,84.77157360406092
Halfmile_shot20101696_seg000.npz,20101696,0,97,94,35.40425531914894,84.93752397335,57.446808510638306,72.3404255319149
Halfmile_shot20081563_seg012.npz,20081563,12,101,101,39.148514851485146,85.92905201500841,38.613861386138616,51.48514851485149
Halfmile_shot20181316_seg010.npz,20181316,10,161,148,49.148648648648646,76.32487462476756,17.56756756756757,44.5945945945946
Halfmile_shot20321117_seg003.npz,20321117,3,201,200,37.15,91.46944845138184,49.0,67.0
Halfmile_shot20021461_seg038.npz,20021461,38,100,100,84.34,151.1697059598913,3.0,12.0
Halfmile_shot20061623_seg030.npz,20061623,30,100,99,40.58585858585859,98.2388349221869,60.60606060606061,73.73737373737373
Halfmile_shot20221211_seg004.npz,20221211,4,201,186,39.1505376344086,69.70984410821328,43.54838709677419,54.83870967741935
Halfmile_shot20321018_seg011.npz,20321018,11,199,137,13.503649635036496,20.037191696814464,37.22627737226277,55.47445255474452
Halfmile_shot20281052_seg004.npz,20281052,4,201,189,25.61904761904762,60.86658147736524,52.38095238095239,69.31216931216932
Halfmile_shot20081528_seg012.npz,20081528,12,101,101,42.99009900990099,92.07551786495154,51.48514851485149,63.366336633663366
Halfmile_shot20041588_seg012.npz,20041588,12,101,97,197.81443298969072,220.67450490122792,0.0,0.0
Halfmile_shot20321097_seg005.npz,20321097,5,201,140,32.542857142857144,85.13552221521368,47.85714285714286,61.42857142857143
Halfmile_shot20281044_seg006.npz,20281044,6,200,161,12.173913043478262,16.715373962555386,20.496894409937887,47.20496894409938
Halfmile_shot20021474_seg012.npz,20021474,12,101,99,73.53535353535354,124.49883371325049,22.22222222222222,41.41414141414141
Halfmile_shot20041665_seg044.npz,20041665,44,99,97,87.11340206185567,150.99573285429685,27.835051546391753,37.11340206185567
Halfmile_shot20261166_seg004.npz,20261166,4,201,173,48.16184971098266,71.90295322224898,22.54335260115607,32.947976878612714
Halfmile_shot20021516_seg024.npz,20021516,24,101,100,55.6,128.02249802280846,50.0,66.0
Halfmile_shot20061643_seg012.npz,20061643,12,101,101,137.24752475247524,188.85889750900495,17.82178217821782,22.772277227722775
Halfmile_shot20321034_seg003.npz,20321034,3,201,197,53.898477157360404,99.8082425413243,33.50253807106599,43.65482233502538
Halfmile_shot20321123_seg005.npz,20321123,5,201,194,22.02061855670103,62.90264118493942,53.608247422680414,72.68041237113401
Halfmile_shot20141407_seg011.npz,20141407,11,121,120,64.16666666666667,92.48170990345425,25.833333333333336,37.5
Halfmile_shot20121529_seg005.npz,20121529,5,101,88,21.454545454545453,47.664547526532665,53.40909090909091,63.63636363636363
Halfmile_shot20201302_seg017.npz,20201302,17,179,175,143.77142857142857,198.2032434504686,23.42857142857143,29.142857142857142
Halfmile_shot20061653_seg005.npz,20061653,5,101,99,74.84848484848484,122.25738704417286,30.303030303030305,40.4040404040404
Halfmile_shot20041611_seg044.npz,20041611,44,99,91,80.21978021978022,135.32898457438475,14.285714285714285,23.076923076923077
Halfmile_shot20281017_seg011.npz,20281017,11,199,132,35.77272727272727,53.3743213710318,25.757575757575758,36.36363636363637
Halfmile_shot20241014_seg003.npz,20241014,3,201,101,22.455445544554454,53.88215965152911,36.633663366336634,61.386138613861384
Halfmile_shot20221226_seg005.npz,20221226,5,201,200,24.84,54.03443346607791,48.0,60.5
Halfmile_shot20041684_seg000.npz,20041684,0,97,93,80.15053763440861,163.5805020323672,53.76344086021505,56.98924731182796
